time,open,high,low,close,Volume,Volume MA
2010-03-12T15:30:00+01:00,74.17,74.24001,73.50999,73.72,7682066,9868284.55
2010-03-15T14:30:00+01:00,73.50999,73.63,72.85001,73.57001,8807684,9618148.25
2010-03-16T14:30:00+01:00,73.89999,74.12,73.41,73.98,9833289,9398177.95
2010-03-17T14:30:00+01:00,74.17999,75.06,74.16,74.67,10293543,9476454.9
2010-03-18T14:30:00+01:00,74.85001,75.07001,74.24001,74.75999,9916500,9479727.95
2010-03-19T14:30:00+01:00,75.03,75.16,73.89,74.98,16610637,9654562.9
2010-03-22T14:30:00+01:00,74.17,74.88,74,74.46001,9317895,9686285.4
2010-03-23T14:30:00+01:00,74.42999,74.78999,74.03,74.77,8008539,9491323.7
2010-03-24T14:30:00+01:00,74.27,74.5,73.78,73.92999,8997582,9495157.5
2010-03-25T14:30:00+01:00,74.39999,74.6223,73.69,73.8,10510371,9432623.7
2010-03-26T14:30:00+01:00,74,74.88,73.82001,74.42999,10414512,9504401.05
2010-03-29T15:30:00+02:00,74.61,75.44,74.49001,75.23,8819152,9573958.05
2010-03-30T15:30:00+02:00,75.27,75.5,74.96001,75.3,6379551,9430011.4
2010-03-31T15:30:00+02:00,75.47,76.14,75.08,75.83,9875590,9514077.05
2010-04-01T15:30:00+02:00,76.39999,77.13,76.34,76.69,7864371,9436304.95
2010-04-05T15:30:00+02:00,76.97,77.75,76.73,77.66,8108652,9404205.5
2010-04-06T15:30:00+02:00,77.57001,78,77.2,77.88,6489922,9404826.2
2010-04-07T15:30:00+02:00,77.67,77.83,76.96001,77.37,9431316,9452126.35
2010-04-08T15:30:00+02:00,76.92999,78,76.63,77.66,6887992,9063861.5
2010-04-09T15:30:00+02:00,78.03999,79.62,78,79.5,9805047,9202710.55
2010-04-12T15:30:00+02:00,79.5,80.8,79.37,80.42999,9999973,9318605.9
2010-04-13T15:30:00+02:00,80.42,80.57001,79.27,80.21001,7978410,9277142.2
2010-04-14T15:30:00+02:00,80.46001,80.61,80.03,80.58,7290781,9150016.8
2010-04-15T15:30:00+02:00,80.61,81.75999,80.50999,81.59,9702410,9120460.15
2010-04-16T15:30:00+02:00,81.46001,81.89999,80.28,80.75,12866504,9267960.35
2010-04-19T15:30:00+02:00,80.25,81.5,80.05,81.32001,9337719,8904314.45
2010-04-20T15:30:00+02:00,81.82001,82.36,81.66,82.05,11473305,9012084.95
2010-04-21T15:30:00+02:00,82.3,82.67,81.24001,81.92,9416762,9082496.1
2010-04-22T15:30:00+02:00,81.11,81.45,80.64,81.2,9422113,9103722.65
2010-04-23T15:30:00+02:00,81.03999,82.77,80.95,82.67,9918039,9074106.05
2010-04-26T15:30:00+02:00,82.52,83.14,82.34,82.59,9794754,9043118.15
2010-04-27T15:30:00+02:00,82.08,82.50999,80.07001,80.23,13043430,9254332.05
2010-04-28T15:30:00+02:00,80.62,80.92,79.85001,80.62,12116559,9541182.45
2010-04-29T15:30:00+02:00,81.19,82.99001,81.19,82.28999,12276004,9661203.15
2010-04-30T15:30:00+02:00,82.37,83.13,81.28999,81.44,13911473,9963558.25
2010-05-03T15:30:00+02:00,81.96001,83.41,81.33,82.83,11650660,10140658.65
2010-05-04T15:30:00+02:00,82.00999,82.24001,79.63,80.75999,16274762,10629900.65
2010-05-05T15:30:00+02:00,79.69,80.73,79.45,80.19,13028902,10809779.95
2010-05-06T15:30:00+02:00,79.41,80.21001,71.5,77.2,21062304,11518495.55
2010-05-07T15:30:00+02:00,77.22,78.61,76.41,77.10001,21868240,12121655.2
2010-05-10T15:30:00+02:00,79.37,80.56,78.53,79.89,14662559,12354784.5
2010-05-11T15:30:00+02:00,79.64,80.745,79.49001,79.7,12023008,12557014.4
2010-05-12T15:30:00+02:00,79.77,80.46001,79.36,80.06,9257883,12655369.5
2010-05-13T15:30:00+02:00,79.8,80.06,78.75,78.92,10840359,12712266.95
2010-05-14T15:30:00+02:00,78.42,78.49001,76.98,77.83,13607727,12749328.1
2010-05-17T15:30:00+02:00,77.39,77.95,75.95,77.73,14694227,13017153.5
2010-05-18T15:30:00+02:00,78.31,78.67,76.39,76.8475,15325098,13209743.15
2010-05-19T15:30:00+02:00,76.35001,77,75.53999,76.60001,10776531,13277731.6
2010-05-20T15:30:00+02:00,75.03999,75.39999,73.53,73.60001,17885504,13700901.15
2010-05-21T15:30:00+02:00,72.35001,74.64999,72,74.48,15920309,14001014.65
2010-05-24T15:30:00+02:00,74.22,74.38,73.31,73.44,10550664,14038810.15
2010-05-25T15:30:00+02:00,71.74001,72.69,70.8,72.57001,22309792,14502128.25
2010-05-26T15:30:00+02:00,73.19,73.5,71.44,71.55,16889904,14740795.5
2010-05-27T15:30:00+02:00,73.13,74.36,72.3,74.36,15253484,14889669.5
2010-05-28T15:30:00+02:00,74,74.39999,73.03999,73.87,14445695,14916380.6
2010-06-01T15:30:00+02:00,73.56,74.52,72.28999,72.28999,13968441,15032269.65
2010-06-02T15:30:00+02:00,72.66,74.13,72.12,74.13,15674906,15002276.85
2010-06-03T15:30:00+02:00,74.66,74.75,73.14,73.91,14280176,15064840.55
2010-06-04T15:30:00+02:00,72.14999,72.71001,70.8,71.28,18133264,14918388.55
2010-06-07T15:30:00+02:00,71.66,72.49001,71.19,71.35001,12325059,14441229.5
2010-06-08T15:30:00+02:00,71.67999,71.73,69.82001,71.02251,16575543,14536878.7
2010-06-09T15:30:00+02:00,71.17,72.39,70.60001,70.78999,14081547,14639805.65
2010-06-10T15:30:00+02:00,72.87,74.17,72.69,74.17,13937383,14873780.65
2010-06-11T15:30:00+02:00,73.48,74.06,72.78999,74.06,8346367,14749081.05
2010-06-14T15:30:00+02:00,74.23,75.545,74.16,74.17999,11948402,14666114.8
2010-06-15T15:30:00+02:00,74.57001,75.25999,74.17999,75.23,11760863,14519446.6
2010-06-16T15:30:00+02:00,74.61,75.39,74.45,74.95,10425301,14274456.75
2010-06-17T15:30:00+02:00,75.02,75.49001,74.2,75.32001,11113840,14291322.2
2010-06-18T15:30:00+02:00,75.47,75.75,74.89999,75.52,13680125,14081053.25
2010-06-21T15:30:00+02:00,76.81,77.25,75.28999,75.72,9348840,13752479.8
2010-06-22T15:30:00+02:00,75.45,75.72,73.88,74,10576512,13753772.2
2010-06-23T15:30:00+02:00,73.84,73.89999,72.14999,72.25999,14877051,13382135.15
2010-06-24T15:30:00+02:00,71.8,72.13,70.7,70.83,14188504,13247065.15
2010-06-25T15:30:00+02:00,71.13,71.13,69.88,70.06,20478240,13508302.95
2010-06-28T15:30:00+02:00,70.56,70.57001,69.63,69.96001,10873855,13329710.95
2010-06-29T15:30:00+02:00,69.2,69.39,68,68.36,16422426,13452410.2
2010-06-30T15:30:00+02:00,68.22,69.06,67.8,67.86,12876855,13312507.65
2010-07-01T15:30:00+02:00,68.19,68.3,66.83,67.48,16335848,13415291.25
2010-07-02T15:30:00+02:00,67.78999,68.14999,66.87,67.31,9146059,12965931
2010-07-06T15:30:00+02:00,68.28,68.32001,66.86,67.56,15039926,13101674.35
2010-07-07T15:30:00+02:00,67.82001,69.5,67.49001,69.45,15693387,13057566.55
2010-07-08T15:30:00+02:00,70.17999,70.69,69.21001,70.41,13479469,13027462.65
2010-07-09T15:30:00+02:00,70.46001,72,70.05,71.84,11390402,12900113.6
2010-07-12T15:30:00+02:00,71.53,72.13,71.35001,71.85001,7352281,12850409.3
2010-07-13T15:30:00+02:00,72.99001,73.58,72.5,73.23,13751273,12940552.85
2010-07-14T15:30:00+02:00,73.00999,73.12,72.35001,73.05,11750418,12940030.6
2010-07-15T15:30:00+02:00,73.23,73.23,72.16,73.03999,10507547,12944142.9
2010-07-16T15:30:00+02:00,72.64999,72.84,71.25,71.5,12060648,12991483.3
2010-07-19T15:30:00+02:00,71.84,72.3,71.49001,72,8350563,12725005.2
2010-07-20T15:30:00+02:00,71,73.21001,70.96001,73.10001,8923910,12703758.7
2010-07-21T15:30:00+02:00,73.33,73.55,71.57001,72.17,9045336,12627199.9
2010-07-22T15:30:00+02:00,72.8,74,72.58,73.44,9553453,12361020
